////////// Thu Jan  5 12:05:09 2017 //////////
Time (min, s) Accl (m/s^2)  y-speed (m/s) altitude (m)  aTemp (*C)    bTemp (*C)    cTemp (*C)    pressure (atm)
5, 9.97       15.0          7.5           3.75          102.8         57.6          103.6         0.9           
5, 10.52      15.0          15.0          11.25         102.8         57.6          103.6         0.9           
5, 10.98      15.0          22.5          22.5          102.8         57.6          103.6         0.9           
5, 11.5       15.0          30.0          37.5          102.8         57.6          103.6         0.9           
5, 11.98      15.0          37.5          56.25         102.8         57.6          103.6         0.9           
5, 12.5       15.0          45.0          78.75         102.8         57.6          103.6         0.9           
5, 12.99      15.0          52.5          105.0         102.8         57.6          103.6         0.9           
5, 13.51      15.0          60.0          135.0         102.8         57.6          103.6         0.9           
5, 14.01      15.0          67.5          168.75        102.8         57.6          103.6         0.9           
5, 14.55      15.0          75.0          206.25        102.8         57.6          103.6         0.9           
5, 15.02      15.0          82.5          247.5         102.8         57.6          103.6         0.9           
////////// Thu Jan  5 12:08:27 2017 //////////
Time (min, s) Accl (m/s^2)  y-speed (m/s) altitude (m)  aTemp (*C)    bTemp (*C)    cTemp (*C)    pressure (atm)
8, 27.32      15.0          7.5           3.75          102.8         57.6          103.6         0.9           
8, 27.81      15.0          15.0          11.25         102.8         57.6          103.6         0.9           
8, 28.32      15.0          22.5          22.5          102.8         57.6          103.6         0.9           
8, 28.83      15.0          30.0          37.5          102.8         57.6          103.6         0.9           
8, 29.33      15.0          37.5          56.25         102.8         57.6          103.6         0.9           
8, 29.87      15.0          45.0          78.75         102.8         57.6          103.6         0.9           
8, 30.37      15.0          52.5          105.0         102.8         57.6          103.6         0.9           
8, 30.85      15.0          60.0          135.0         102.8         57.6          103.6         0.9           
////////// Thu Jan  5 17:07:04 2017 //////////
Time (min, s) Accl (m/s^2)  y-speed (m/s) altitude (m)  aTemp (*C)    bTemp (*C)    cTemp (*C)    pressure (atm)
7, 4.39       15.0          7.5           3.75          102.8         57.6          103.6         0.9           
7, 4.8        15.0          15.0          11.25         102.8         57.6          103.6         0.9           
7, 5.31       15.0          22.5          22.5          102.8         57.6          103.6         0.9           
7, 5.81       15.0          30.0          37.5          102.8         57.6          103.6         0.9           
7, 6.32       15.0          37.5          56.25         102.8         57.6          103.6         0.9           
7, 6.82       15.0          45.0          78.75         102.8         57.6          103.6         0.9           
7, 7.32       15.0          52.5          105.0         102.8         57.6          103.6         0.9           
7, 7.83       15.0          60.0          135.0         102.8         57.6          103.6         0.9           
7, 8.34       15.0          67.5          168.75        102.8         57.6          103.6         0.9           
7, 8.83       15.0          75.0          206.25        102.8         57.6          103.6         0.9           
7, 9.34       15.0          82.5          247.5         102.8         57.6          103.6         0.9           
////////// Thu Jan  5 17:13:19 2017 //////////
Time (min, s) Accl (m/s^2)  y-speed (m/s) altitude (m)  aTemp (*C)    bTemp (*C)    cTemp (*C)    pressure (atm)
13, 19.2      15.0          7.5           3.75          102.8         57.6          103.6         0.9           
13, 19.7      15.0          15.0          11.25         102.8         57.6          103.6         0.9           
13, 20.22     15.0          22.5          22.5          102.8         57.6          103.6         0.9           
13, 20.72     15.0          30.0          37.5          102.8         57.6          103.6         0.9           
13, 21.25     15.0          37.5          56.25         102.8         57.6          103.6         0.9           
13, 21.73     15.0          45.0          78.75         102.8         57.6          103.6         0.9           
13, 22.25     15.0          52.5          105.0         102.8         57.6          103.6         0.9           
13, 22.74     15.0          60.0          135.0         102.8         57.6          103.6         0.9           
13, 23.26     15.0          67.5          168.75        102.8         57.6          103.6         0.9           
13, 23.77     15.0          75.0          206.25        102.8         57.6          103.6         0.9           
13, 24.28     15.0          82.5          247.5         102.8         57.6          103.6         0.9           
13, 24.78     15.0          90.0          292.5         102.8         57.6          103.6         0.9           
13, 25.3      15.0          97.5          341.25        102.8         57.6          103.6         0.9           
